"Module version","Modulversion"
"API login","API-Anmeldung"
"API Password:","API-Passwort:"
"Your username to use API","Ihr Benutzername zur Verwendung der API"
"Your password to use API","Ihr Passwort zur Verwendung der API"
"Production URL","Produktions-URL"
"Test connection","Testverbindung"
"Can we connect to Altapay","Können wir uns mit Altapay verbinden?"
"Test authentication","Testen Sie die Authentifizierung"
"Can we authenticate to Altapay - Remember to save after you have typed your API login and password","Können wir uns bei Altapay authentifizieren? Denken Sie daran, zu speichern, nachdem Sie Ihr API-Login und Ihr Kennwort eingegeben haben"
"Order status","Bestellstatus"
"Order status - before payment"."Bestellstatus - vor Zahlung",
"The status on the order before payment (if the user closes the browser inside the payment windows, the order will have this status)","Der Status auf der Bestellung vor der Zahlung (wenn der Benutzer den Browser innerhalb des Zahlungsfensters schließt, hat die Bestellung diesen Status.)"
"Order status - after payment","Bestellstatus - nach Zahlungseingang"
"The status on the order after payment is approved","Der Status auf der Bestellung wird nach Zahlungseingang genehmigt"
"Order status - Fraud detected","Auftragsstatus - Betrug festgestellt"
"The status on the order if fraud is detected","Der Status der Bestellung, wenn ein Betrug festgestellt wird"
"Order status - cancel","Bestellstatus - stornieren"
"The status on the order if a user cancel the order in the payment window","Der Status der Bestellung, wenn ein Benutzer die Bestellung im Zahlungsfenster storniert"
"Terminal #1","Terminal #1"
"Terminal #2","Terminal #2"
"Terminal #3","Terminal #3"
"Terminal #4","Terminal #4"
"Terminal #5","Terminal #5"
"Title","Titel"
"Terminal name","Name des Terminals"
"Select terminal - Remember to save configuration after you have added your API login and password, to get your terminals","Terminal auswählen - Denken Sie daran, die Konfiguration zu speichern, nachdem Sie Ihr API-Login und Ihr Kennwort hinzugefügt haben, um Ihr Terminal zu erhalten"
"Force language","Sprache erzwingen"
"Force the language of the payment page","Erzwingen Sie die Sprache der Zahlungsseite"
"Auto capture","Automatische Erfassung"
"If you only sell download products, which are delivered immediately you can turn this on","
Wenn Sie nur Download-Produkte verkaufen, die sofort geliefert werden, können Sie dies aktivieren"
"Gateway version","Kompatibel mit Zahlungsschnittstelle"
"Reset","Resetten"
"Logs","Logdaten"
"Enable / disable module logs.","Logdateien des Moduls aktivieren."
"Enable","Aktiviert"
"Disable","Deaktiviert"
"Default Language","Standardsprache"
"Default language on the payment page.","Standardsprache auf Zahlungsseite."
"French","Französisch"
"German","Deutsch"
"English","Englisch"
"Spanish","Spanisch"
"Chinese","Chinesisch"
"Italian","Italienisch"
"Japanese","Japanisch"
"Portuguese","Portugiesisch"
"Dutch","Holländisch"
"Swedish","Schwedisch"
"Russian","Russisch"
"Polish","Polnisch"
"Turkish","Türkisch"
"Available languages","Verfügbare Sprachen"
"ALL","ALLE"
"Method title","Titel Zahlungsweise"
"Yes","Ja"
"No","Nein"
"Sort order","Reihenfolge"
"Restrict to some countries","Dieses Zahlungsmittel für einige Länder eingrenzen"
"All Allowed Countries","Alle Länder erlaubt"
"Specific Countries","Specific Countries"
"Payment Method","Zahlungsmethode"
"Amount","Betrag"
"Email","Kontakt"
"First Name","Vorname"
"Last Name","Nachname"
"Civility","Anrede"
"Address","Adresse"
"Postcode","PLZ"
"City","Ort"
"Country","Land"
"Telephone","Telefonnummer"
"OKAY","IN ORDNUNG"
"Redirected to Altapay - Payment request ID","Redirected to Altapay - Payment request ID"
"Notification callback from Altapay","Notification callback from Altapay"
"Altapay - Consumer has canceled the payment","Altapay - Consumer has canceled the payment"
"Card declined, consumer redirected to the payment form","Card declined, consumer redirected to the payment form"
"Card declined, consumer redirected to the payment section","Card declined, consumer redirected to the payment section",
"Altapay - Consumer has tried to pay but the payment failed","Altapay - Consumer has tried to pay but the payment failed"
"Payment is completed","Payment is completed"
"OK callback from Altapay","OK callback from Altapay"
"Payment failed! Consumer has pressed the back button from the payment page.","Payment failed! Consumer has pressed the back button from the payment page."
"error","error"
"success","success"
"Could not authenticate with API","Could not authenticate with API"
"error occured","error occured"
"Payment failed due to the browser back button usage!","Payment failed due to the browser back button usage!"
