"Modulversjon","Modulversjon"
"API login","API logg inn"
"API Password:","API passord:"
"Your username to use API","Ditt brukernavn for å bruke API"
"Your password to use API","Ditt passord for å bruke API"
"Production URL","Produksjon URL"
"Test connection","Test tilkobling"
"Can we connect to Altapay","Kan vi koble til Altapay"
"Test authentication","Test autentisering"
"Can we authenticate to Altapay - Remember to save after you have typed your API login and password","Kan vi autentisere til Altapay - Husk å lagre etter at du har skrevet inn innlogging og passord for API-en din"
"Order status","Bestillingsstatus"
"Order status - before payment","Bestillingsstatus - før betaling"
"The status on the order before payment (if the user closes the browser inside the payment windows, the order will have this status)","Statusen på bestillingen før betaling (hvis brukeren lukker nettleseren inne i betalingsvinduene, vil bestillingen ha denne statusen)"
"Order status - after payment","Bestillingsstatus - etter betaling"
"The status on the order after payment is approved","Statusen på bestillingen etter betaling er godkjent"
"Order status - Fraud detected","Ordrestatus - Svindel oppdaget"
"The status on the order if fraud is detected","Status på ordren hvis det oppdages svindel"
"Order status - cancel","Order status - cancel"
"The status on the order if a user cancel the order in the payment window","Status på bestillingen hvis en bruker avbryter bestillingen i betalingsvinduet"
"Terminal #1","Terminal #1"
"Terminal #2","Terminal #2"
"Terminal #3","Terminal #3"
"Terminal #4","Terminal #4"
"Terminal #5","Terminal #5"
"Title","Tittel"
"Terminal name","Terminalnavn"
"Select terminal - Remember to save configuration after you have added your API login and password, to get your terminals","Velg terminal - Husk å lagre konfigurasjon etter at du har lagt til API-innlogging og passord, for å få terminaler"
"Force language","Tvinge språk"
"Force the language of the payment page","Tvinge språket på betalingssiden"
"Auto capture","Automatisk opptak"
"If you only sell download products, which are delivered immediately you can turn this on","Hvis du bare selger nedlastede produkter, som leveres umiddelbart, kan du slå på dette"
"Gateway version","Gateway-versjonen"
"Reset","Tilbakestille"
"Logs","Logger"
"Enable","Aktiver"
"Disable","Deaktivere"
"French","Fransk"
"German","Tysk"
"English","Engelsk"
"Spanish","Spansk"
"Chinese","Kinesisk"
"Italian","Italiensk"
"Japanese","Japansk"
"Portuguese","Portugisisk"
"Dutch","Nederlandsk"
"Swedish","Svensk"
"Russian","Russisk"
"Polish","Polsk"
"Turkish","Tyrkisk"
"Available languages","Tilgjengelige språk"
"ALL","Alle"
"Method title","Metode tittel"
"Yes","Ja"
"No","Nei"
"Sort order","Sorteringsrekkefølge"
"Restrict to some countries","Begrens til noen land"
"All Allowed Countries","Alle tillatte land"
"Specific Countries","Spesifikke land"
"Product page","Produktside"
"Cart page","Shopping side"
"Payment Method","Betalingsmetode"
"Amount","Beløp"
"Email","E-mail"
"First Name","Fornavn"
"Last Name","Etternavn"
"Address","Adresse"
"Postcode","Postnummer"
"City","By"
"Country","Land"
"Please wait","Vänligen vänta"
"OKAY","GREIT"
"Redirected to Altapay - Payment request ID","Omdirigert til Altapay - Betalingsanmodnings-ID"
"Notification callback from Altapay","Melding tilbakeringing fra Altapay"
"Altapay - Consumer has canceled the payment","Altapay - Forbruker har kansellert betalingen"
"Card declined, consumer redirected to the payment form","Kort avvist, forbruker omdirigert til betalingsskjemaet"
"Card declined, consumer redirected to the payment section","Card declined, consumer redirected to the payment section",
"Altapay - Consumer has tried to pay but the payment failed","Altapay - Forbruker har forsøkt å betale, men betalingen mislyktes"
"Payment is completed","Betalingen er fullført"
"OK callback from Altapay","OK tilbakeringing fra Altapay"
"Payment failed! Consumer has pressed the back button from the payment page.","Betalingen feilet! Forbruker har trykket på tilbakeknappen fra betalingssiden."
"error","feil"
"success","suksess"
"Could not authenticate with API","Kunne ikke godkjenne med API"
"error occured","feil oppstod"
"Payment failed due to the browser back button usage!","Betalingen mislyktes på grunn av bruk av nettleserens tilbake knapp!"
